Address,Area,Price_per_ft2,Rooms,Area-ft2,Rent_Price,Lat,Long
West 105th Street,Upper West Side,2.94,5.0,3400,10000,,
East 97th Street,Upper East Side,3.57,3.0,2100,7500,,
West 105th Street,Upper West Side,1.89,4.0,2800,5300,,
CARMINE ST.,West Village,3.03,2.0,1650,5000,,
171 W 23RD ST. ,Chelsea,3.45,2.0,1450,5000,,
76 CARMINE ST. ,West Village,3.56,2.0,1350,4800,,
E 91ST,Upper East Side,3.21,2.0,1450,4650,,
333 east 81st street ,Upper East Side,1.85,3.0,2430,4500,,
EAST 88TH STREET,Upper East Side,3.21,2.0,1400,4500,,
East 77th Street,Upper East Side,5.00,1.0,900,4500,,
W 23RD ST.,Chelsea,2.21,2.0,2040,4500,,
EAST 30TH STREET,Murray Hill,2.09,2.0,2150,4500,,
East 30th street,Murray Hill,1.96,3.0,2300,4500,,
EAST 89TH STREET,Upper East Side,2.07,3.0,2100,4350,,
east 30th street,Murray Hill,3.25,2.0,1340,4350,,
W 23RD ST.,Chelsea,3.04,2.0,1400,4250,,
171 W 23RD ST.,Rental in Lenox Hill,5.54,2.0,1579,8750,,
211 East 70th Street,Chelsea,4.57,1.0,930,4250,,
135 W 24TH ST. ,Chelsea,4.83,1.0,870,4200,,
East 77th Street,Upper East Side,4.44,1.0,900,4000,,
East 77th Street,Upper East Side,5.33,1.0,750,4000,,
East 77th Street,Upper East Side,5.00,1.0,800,4000,,
205 East 92nd Street,Rental in Yorkville,7.27,3.0,2200,15984,,
136 West Houston Street,Rental in Greenwich Village,7.60,3.0,2100,15950,,
110 Greenwich Street,Rental in Financial District,6.00,6.0,2000,12000,,
200 East 82nd Street,Rental in Yorkville,6.69,3.0,1647,11016,,
393 West End Avenue,Rental in Riverside Dr./West End Ave.,7.15,4.0,2230,15950,,
201 East 86th Street,Rental in Yorkville,5.87,4.0,2300,13511,,
476 West 142nd Street,Rental in Hamilton Heights,2.73,2.0,3200,8750,,
1214 Fifth Avenue,No fee rental in East Harlem,4.78,3.0,1450,6930,,
50 Murray Street,No fee rental in Tribeca,6.48,2.0,1038,6724,,
20 Warren Street,Rental in Tribeca,4.78,4.0,2500,11950,,
15 West 55th Street,Rental in Midtown West,5.00,3.0,1500,7500,,
537 West 27th Street,Rental in Chelsea,5.72,2.0,1267,7250,,
125 West 31st Street,Rental in Midtown West,5.61,2.0,1250,7011,,
210 East 68th Street,Rental in Lenox Hill,5.28,2.0,1308,6900,,
140 Riverside Boulevard,No fee rental in Riverside Dr./West End Ave.,5.46,2.0,1230,6710,,
315 Central Park West,Rental in Central Park West,5.56,3.0,1800,10000,,
305 East 63rd Street,Rental in Lenox Hill,6.47,3.0,1392,9000,,
303 East 83rd Street,No fee rental in Yorkville,6.79,4.0,1759,11950,,
1113 York Avenue,Rental in Lenox Hill,6.29,3.0,1750,11000,,
393 West End Avenue,Rental in Riverside Dr./West End Ave.,6.16,3.0,1622,9995,,
51 Murray Street,Rental in Tribeca,5.63,2.0,1600,9000,,
162 East 63rd Street,Rental in Lenox Hill,11.74,2.0,852,10000,,
105 West 29th Street,No fee rental in Chelsea,8.16,2.0,1113,9080,,
9 East 62nd Street,Rental in Park/Fifth Ave. to 79th St.,8.95,3.0,950,8500,,
221 East 60th Street,Rental in Lenox Hill,5.00,5.0,1600,8000,,
317-319 Greenwich Street,Rental in Tribeca,3.63,2.0,2000,7250,,
1 Morningside Drive,No fee rental in Morningside Heights,5.20,3.0,1347,7010,,
93 Grand Street,Rental in SoHo,3.45,1.0,2000,6900,,
50 West 22nd Street,Rental in Chelsea,4.29,3.0,2000,8585,,
146 Beekman Street,Rental in Financial District,5.02,3.0,1600,8027,,
1214 Fifth Avenue,No fee rental in East Harlem,5.20,2.0,1500,7795,,
31 West 10th Street,Rental in Greenwich Village,6.75,2.0,2000,13500,,
50 Murray Street,No fee rental in Tribeca,4.65,3.0,1566,7286,,
201 East 86th Street,Rental in Yorkville,6.70,3.0,1050,7031,,
19 Dutch Street,Rental in Financial District,6.48,2.0,1070,6935,,
