sub_station,sub_address,lat,long
Dyckman Street Subway Station,"170 Nagle Ave, New York, NY 10034, USA",40.8618571,-73.9245089
57 Street Subway Station,"New York, NY 10106, USA",40.7642499,-73.954525
Broad St,"New York, NY 10005, USA",40.7308619,-73.9871558
175 Street Station,"807 W 177th St, New York, NY 10033, USA",40.8479915,-73.939785
5 Av and 53 St,"New York, NY 10022, USA",40.7642499,-73.954525
Broadway-Lafayette St Station,"E Houston St, New York, 10012, United States",40.7256842,-73.9977263
28 Street Station,"New York, NY 10001, USA",40.7308619,-73.9871558
42 St - Bryant Pk,"New York, NY 10018, USA",40.7308619,-73.9871558
Bowery Station,"Bowery, New York, NY 10002, USA",40.7202174,-73.99372
34th Street-Hudson ,"380-394 11th Ave, New York, NY 10001, USA",40.7530381632653,-74.0038601836735
47-50 Sts - Rockefeller Ctr,"New York, NY 10020, USA",40.7642499,-73.954525
145 St,"New York, NY 10031, USA",40.7642499,-73.954525
City Hall,"New York, NY 10007, USA",40.7308619,-73.9871558
42 St - Port Authority Bus Terminal,"New York, NY 10036, USA",40.7308619,-73.9871558
116 Street Station,"New York, NY 10035, USA",40.7642499,-73.954525
137 St - City College,"New York, NY 10031, United States",40.7642499,-73.954525
72 Street Subway Station,"2nd Ave, New York, NY 10021, USA",40.7668653,-73.959779
14 St,"New York, NY 10011, United States",40.7308619,-73.9871558
33 Street Station,"New York, NY 10016, United States",40.7308619,-73.9871558
Rector St,"New York, NY 10006, USA",40.7308619,-73.9871558
18 Street Station,"New York, NY 10011, United States",40.7308619,-73.9871558
103 St Station,"New York, NY 10029, United States",40.7642499,-73.954525
135 Street Station,"New York, NY 10030, United States",40.7642499,-73.954525
2 Avenue Station,"New York, NY 10002, United States",40.7308619,-73.9871558
103 St Station W,"New York, NY 10025, USA",40.7642499,-73.954525
8 Street Station,"New York, NY 10003, USA",40.7308619,-73.9871558
Prince St,"88 Prince St, New York, NY 10012, USA",40.7244125,-73.998317
Astor Pl,"170 Nagle Ave, New York, NY 10034, USA",40.8618571,-73.9245089
Franklin St,"New York, NY 10013, USA",40.7308619,-73.9871558
Marble Hill - 225 St,"New York, NY 10034, United States",40.7642499,-73.954525
191 Street Subway Station,"New York, NY 10040, USA",40.7642499,-73.954525
207 St Station,"New York, NY 10034, United States",40.7642499,-73.954525
Christopher St Station,"New York, NY 10014, United States",40.7308619,-73.9871558
World Trade Center,"New York, NY 10007, USA",40.7308619,-73.9871558
23 Street Station,"E 23rd St, New York, NY 10010, USA",40.7401651,-73.9863046
86 Street Subway Station,"New York, NY 10028, USA",40.7642499,-73.954525
Delancey St,"New York, NY 10002, USA",40.7308619,-73.9871558
163 Street Subway Station,"New York, NY 10032, United States",40.7642499,-73.954525
66 St - Lincoln Center Subway Station,"New York, NY 10023, United States",40.7642499,-73.954525
Brooklyn Bridge - City Hall Metro Station,"18 Centre St, New York, NY 10007, USA",40.8263416,-73.0921908883459
125 Street Subway Station,"New York, NY 10027, USA",40.7642499,-73.954525
59 St - Columbus Circle Station,"Columbus Cir, New York, NY 10023, USA",40.7683868,-73.9831782
49 Street,"New York, NY 10036, United States",40.7308619,-73.9871558
50 Street Subway Station,"New York, NY 10019, United States",40.7642499,-73.954525
5 Avenue Station,"1-5, E 59th St, New York, NY 10022, USA",40.76429,-73.97282
51 St Station,"Lexington &, E 51st St, New York, NY 10022, United States",40.7571476,-73.9720784
68 Street Station,"New York, NY 10021, United States",40.7642499,-73.954525
28 Street Subway Station,"New York, NY 10016, United States",40.7308619,-73.9871558
