sub_station,sub_address
Dyckman Street Subway Station,"170 Nagle Ave, New York, NY 10034, USA"
57 Street Subway Station,"New York, NY 10106, USA"
Broad St,"New York, NY 10005, USA"
175 Street Station,"807 W 177th St, New York, NY 10033, USA"
5 Av and 53 St,"New York, NY 10022, USA"
Broadway-Lafayette St Station,"E Houston St, New York, 10012, United States"
28 Street Station,"New York, NY 10001, USA"
42 St - Bryant Pk,"New York, NY 10018, USA"
Bowery Station,"Bowery, New York, NY 10002, USA"
34th Street-Hudson ,"380-394 11th Ave, New York, NY 10001, USA"
47-50 Sts - Rockefeller Ctr,"New York, NY 10020, USA"
145 St,"New York, NY 10031, USA"
City Hall,"New York, NY 10007, USA"
42 St - Port Authority Bus Terminal,"New York, NY 10036, USA"
116 Street Station,"New York, NY 10035, USA"
137 St - City College,"New York, NY 10031, United States"
72 Street Subway Station,"2nd Ave, New York, NY 10021, USA"
14 St,"New York, NY 10011, United States"
33 Street Station,"New York, NY 10016, United States"
Rector St,"New York, NY 10006, USA"
18 Street Station,"New York, NY 10011, United States"
103 St Station,"New York, NY 10029, United States"
135 Street Station,"New York, NY 10030, United States"
2 Avenue Station,"New York, NY 10002, United States"
103 St Station W,"New York, NY 10025, USA"
8 Street Station,"New York, NY 10003, USA"
Prince St,"88 Prince St, New York, NY 10012, USA"
Astor Pl,"170 Nagle Ave, New York, NY 10034, USA"
Franklin St,"New York, NY 10013, USA"
Marble Hill - 225 St,"New York, NY 10034, United States"
191 Street Subway Station,"New York, NY 10040, USA"
207 St Station,"New York, NY 10034, United States"
Christopher St Station,"New York, NY 10014, United States"
World Trade Center,"New York, NY 10007, USA"
23 Street Station,"E 23rd St, New York, NY 10010, USA"
86 Street Subway Station,"New York, NY 10028, USA"
Delancey St,"New York, NY 10002, USA"
163 Street Subway Station,"New York, NY 10032, United States"
66 St - Lincoln Center Subway Station,"New York, NY 10023, United States"
Brooklyn Bridge - City Hall Metro Station,"18 Centre St, New York, NY 10007, USA"
125 Street Subway Station,"New York, NY 10027, USA"
59 St - Columbus Circle Station,"Columbus Cir, New York, NY 10023, USA"
49 Street,"New York, NY 10036, United States"
50 Street Subway Station,"New York, NY 10019, United States"
5 Avenue Station,"1-5, E 59th St, New York, NY 10022, USA"
51 St Station,"Lexington &, E 51st St, New York, NY 10022, United States"
68 Street Station,"New York, NY 10021, United States"
28 Street Subway Station,"New York, NY 10016, United States"
77 St,"E 77th St, New York, NY 10075, USA"
Houston Street Station,"W Houston St, New York, NY 10014, USA"
86 Street Station,"New York, NY 10024, USA"
Fulton Street Station,"Broadway, New York, NY 10038, USA"
14 Street - Union Square Station,"New York, NY 10003, USA"
South Ferry Station,"New York, NY 10004, USA"
34 Street - Penn Station,"New York, NY 10001, United States"
Times Sq - 42 St,"New York, NY 10018, USA"
Wall Street Station,"New York, NY 10006, USA"
West 4 St-Washington Sq Sta,"New York, NY 10012, United States"
34 St - Herald Sq Subway Station,"New York, NY 10001, USA"
181 St,"Fort Washington Ave, New York, NY 10033"
Fulton Street Subway Station,"135-167 Fulton St, New York, NY 10038, USA"
Times Sq - 42 St,"New York, NY 10036, United States"
Central Pk North-110 St Lenox Av,"New York, NY 10026, United States"
215 Street Station,"New York, NY 10034, United States"
155 St,"New York, NY 10039, United States"
190 Street Subway Station,"Bennett Ave, New York, NY 10040, USA"
59 St-Lexington Av Station,"E 60th St, New York, NY 10065, USA"
Canal St,"New York, NY 10013, United States"
79 St Station,"New York, NY 10024, United States"
7 Avenue Station,"New York, NY 10019, United States"
Union Square Subway,"New York, NY 10003, United States"
50 St Br,"New York, NY 10019, United States"
57 Street Station,"New York, NY 10019, United States"
23 Street Station,"New York, NY 10010, United States"
14 Street / 8 Av,"New York, NY 10014, United States"
MTA New York City ,"525 11th Ave, New York, NY 10018, USA"
