Borough,Neighborhood,Latitude,Longitude,Cluster Labels
Manhattan,Marble Hill,40.87655077879964,-73.91065965862981,2
Manhattan,Chinatown,40.71561842231432,-73.99427936255978,2
Manhattan,Washington Heights,40.85190252555305,-73.93690027985234,4
Manhattan,Inwood,40.86768396449915,-73.92121042203897,3
Manhattan,Hamilton Heights,40.823604284811935,-73.94968791883366,0
Manhattan,Manhattanville,40.8169344294978,-73.9573853935188,3
Manhattan,Central Harlem,40.81597606742414,-73.94321112603905,2
Manhattan,East Harlem,40.79224946663033,-73.94418223148524,4
Manhattan,Upper East Side,40.775638573301805,-73.96050763135,0
Manhattan,Yorkville,40.775929849884875,-73.94711784471826,2
Manhattan,Lenox Hill,40.76811265828733,-73.9588596881376,3
Manhattan,Roosevelt Island,40.76215960576283,-73.94916769227953,4
Manhattan,Upper West Side,40.787657998534854,-73.97705923630603,3
Manhattan,Lincoln Square,40.77352888942166,-73.98533777001262,4
Manhattan,Clinton,40.75910089146212,-73.99611936309479,2
Manhattan,Midtown,40.75469110270623,-73.98166882730304,4
Manhattan,Murray Hill,40.748303077252174,-73.97833207924127,3
Manhattan,Chelsea,40.744034706747975,-74.00311633472813,3
Manhattan,Greenwich Village,40.72693288536128,-73.99991402945902,3
Manhattan,East Village,40.727846777270244,-73.98222616506416,4
Manhattan,Lower East Side,40.71780674892765,-73.98089031999291,4
Manhattan,Tribeca,40.721521967443216,-74.01068328559087,4
Manhattan,Little Italy,40.71932379395907,-73.99730467208073,4
Manhattan,Soho,40.72218384131794,-74.00065666959759,2
Manhattan,West Village,40.73443393572434,-74.00617998126812,1
Manhattan,Manhattan Valley,40.797307041702865,-73.96428617740655,4
Manhattan,Morningside Heights,40.807999738165826,-73.96389627905332,2
Manhattan,Gramercy,40.737209832715,-73.98137594833541,3
Manhattan,Battery Park City,40.71193198394565,-74.01686930508617,4
Manhattan,Financial District,40.70710710727048,-74.0106654452127,3
Manhattan,Carnegie Hill,40.7826825671257,-73.95325646837112,4
Manhattan,Noho,40.72325901885768,-73.98843368023597,3
Manhattan,Civic Center,40.71522892046282,-74.00541529873355,3
Manhattan,Midtown South,40.7485096643122,-73.98871313285247,4
Manhattan,Sutton Place,40.76028033131374,-73.96355614094303,2
Manhattan,Turtle Bay,40.75204236950722,-73.96770824581834,3
Manhattan,Tudor City,40.746917410740195,-73.97121928722265,3
Manhattan,Stuyvesant Town,40.73099955477061,-73.97405170469203,4
Manhattan,Flatiron,40.739673047638426,-73.9909471052826,3
Manhattan,Hudson Yards,40.75665808227519,-74.00011136202637,2
